Nr,game_system,name,Beschreibung,Quelle,source_id,page_number,bonus,stufe,ap,Art,Zauberdauer,Reichweite,Wirkungsziel,Wirkungsbereich,Wirkungsdauer,Ursprung,Category,learning_category,Agens,Reagens,Material (Kosten)
,,,,,,,,,,,,,,,,,,,,,
1,Midgard,Angst,,Ark,2,,,2,2 je Wesen,Wort,Augenblick,30 m,Geist,max 10 Wesen,10 min,dr,Beherrschen,Spruch,Feuer,Wasser,0
2,Midgard,Anstacheln,,Ark,2,,,2,2,Wort,10 sec,30 m,Geist,1 Wesen,2 h,dä,Beherrschen,Spruch,Luft,Wasser,0
3,Midgard,Anziehen,,Ark,2,,,2,2,Wort,10 sec,30 m,Geist,1 Wesen,6 h,dä,Beherrschen,Spruch,Wasser,Wasser,0
4,Midgard,Auffrischen,,Ark,2,,,1,1,Geste,10 sec,15 m,Umgebung,1 Objekt,30 min,dr,Formen,Spruch,Magan,Metall,0
5,Midgard,Auflösung,,Ark,2,,,12,8,Geste,30 sec,30 m,Umgebung,1 m Umkreis,"2 min, k",dä,Zerstören,Spruch,Magan,Metall,"Moder, Staub, Knochenmehl, Rostflocken (20 GS)"
6,Midgard,Auskühlen,,Ark,2,,,4,2,Geste,10 sec,15 m,Körper,1 Wesen,2 min,el,Verändern,Spruch,Eis,Erde,0
7,Midgard,Bannen von Kälte,,Ark,2,,,5,4,Geste,10 min,0 m,Umgebung,3 m Umkreis,8 h,el,Zerstören,Spruch,Feuer,Eis,Holzkohlestück (1 SS)
8,Midgard,Bannen von Licht,,Ark,2,,,2,1,Wort,Augenblick,0 m,Umgebung,9 m Umkreis,10 min,gö,Zerstören,Spruch,Eis,Feuer,0
9,Midgard,Bannen von Zauberwerk,,Ark,2,,,4,4,Wort,2 min,15 m,Umgebung,1 Wesen/Objekt,0,dä,Zerstören,Spruch,Metall,Magan,0
10,Midgard,Beeinflussen,,Ark,2,,,5,3,Wort,10 sec,15 m,Geist,1 Wesen,10 min,dä,Beherrschen,Spruch,Feuer,Luft,0
11,Midgard,Befestigen,,Ark,2,,,2,2,Geste,1 min,Berührung,Umgebung,1 Objekt,1 Monat,dä,Bewegen,Spruch,Magan,Metall,"""eigener Speichel"""
12,Midgard,Besänftigen,,Ark,2,,,3,1 je Grad,Wort,10 sec,30 m,Geist,1 Wesen,0,dä,Beherrschen,Spruch,Wasser,Wasser,0
13,Midgard,Beschleunigen,,Ark,2,,,6,6,Geste,10 sec,15 m,Körper,1 Wesen,1 min,dä,Verändern,Spruch,Magan,Erde,0
14,Midgard,Binden des Vertrauten,,Ark,2,,,6,3,Gedanke,Augenblick,Berührung,Geist,1 km Umkreis,2 h,dä,Beherrschen,Spruch,Wasser,Wasser,0
15,Midgard,Blaue Bannsphäre,,Ark,2,,,3,2,Geste,20 sec,0 m,Geist,3 m Umkreis,2 min,gö,Beherrschen,Spruch,Luft,Eis,0
16,Midgard,Blauer Zwingkreis,,Ark,2,,,7,4,Geste,20 sec,30 m,Geist,6 m Umkreis,10 min,gö,Beherrschen,Spruch,Luft,Eis,Eichenholzreif (20 GS)
17,Midgard,Blenden,,Ark,2,,,8,4,Geste,Augenblick,9 m Umkreis,Umgebung,-,1 min,gö,Erschaffen,Spruch,Feuer,Feuer,0
18,Midgard,Blendwerk,,Ark,2,,,8,4,Geste,10 sec,50 m,Geist,1 Wesen/Objekt,1W6x10 min,dä,Beherrschen,Spruch,Magan,Feuer,Goldstaub (50 GS)
19,Midgard,Blitze schleudern,,Ark,2,,,6,2 je Blitz,Geste,10 sec,200 m,Umgebung,1-10 Strahlen,0,dä,Erschaffen,Spruch,Luft,Feuer,getrocknetes Zitteraalherz (5 GS)
