Nr,game_system,name,Beschreibung,Quelle,source_id,page_number,bonus,stufe,ap,Art,Zauberdauer,Reichweite,Wirkungsziel,Wirkungsbereich,Wirkungsdauer,Ursprung,Category,learning_category,Agens,Reagens,Material (Kosten) bzw. Auftragen auf,Zauberrune
,,,,,,,,,,,,,,,,,,,,,,
1,midgard,Anziehen,,MYS,3,,,2,2,Wort,Augenblick,30 m,Geist,1 Wesen,6 h,dä,Beherrschen,Zaubersiegel,Wasser,Wasser,Stirn,Anziehen
2,midgard,Auflösung,,MYS,3,,,12,8,Geste,Augenblick,30 m,Umgebung,1 m Umkreis,"2 min, k",dä,Zerstören,Runenstab,Magan,Metall,0,Auflösung
3,midgard,Auskühlen,,MYS,3,,,4,2,Wort,Augenblick,15 m,Körper,1 Wesen,2 min,el,Verändern,Zaubersiegel,Eis,Erde,Körper,Auskühlen
4,midgard,Automat schaffen,,MYSE,5,,,10,9,Wort,Augenblick,Berührung,Umgebung,1 Objekt,∞,dä,Formen,Zaubersiegel E,Magan,Metall,0,Automat schaffen
5,midgard,Bannen von Zauberwerk,,MYS,3,,,4,4,Wort,Augenblick,15 m,Umgebung,1 Objekt,0,dä,Zerstören,Zaubersiegel,Metall,Magan,Oberfläche,Bannen von Zauberwerk
6,midgard,Bannrune,,MYS,3,,,6,3,Geste,30 min,-,Geist,3 m Umkreis,12 h,gö,Beherrschen,Zauberrune,Luft,Feuer,6 Apfelbaumholzstücke (1 KS),Bannrune
7,midgard,Bartrune,,MYS,3,,,4,2,Geste,30 min,-,Körper,1 Wesen,30 min,gö,Verändern,Zauberrune,Metall,Erde,Eisenkamm (1 GS),Bartrune
8,midgard,Becherrune,,MYS,3,,,1,1,Geste,30 min,Berührung,Umgebung,1 Objekt,6 h,gö,Erkennen,Zauberrune,Holz,Eis,Trinkgefäß (-),Becherrune
9,midgard,Beeindrucken,,MYS,3,,,5,3,Wort,Augenblick,15 m,Geist,1 Wesen,10 min,dä,Verändern,Zaubersiegel,Magan,Luft,Stirn,Beeindrucken
10,midgard,Befestigen,,MYS,3,,,2,2,Wort,Augenblick,Berührung,Umgebung,1 Objekt,1 Monat,dä,Bewegen,Zaubersiegel,Magan,Metall,Oberfläche,Befestigen
11,midgard,Berserkerrune,,MYS,3,,,5,3,Geste,30 min,-,Körper,1 Wesen,var,gö,Verändern,Zauberrune,Magan,Wasser,Waffe mit Eichenholzschaft (-),Berserkerrune
12,midgard,Beschleunigen,,MYS,3,,,6,6,Wort,Augenblick,15 m,Körper,1 Wesen,1 min,dä,Verändern,Zaubersiegel,Magan,Erde,Arme und Beine,Beschleunigen
